onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	111000010011001100011100100011010010000110110000100110011010111110110110001000110111111001011101011011011011011111110000101001011010010101101111
34	6	rest	null
40	6	stimulus_random	110000110101111011010001110010011100000000010010011011111000011101001011100011011001110100100000100011010001010110100001100111111100000100001010
46	6	rest	null
52	6	stimulus_random	010001011011111011011100111101101011110011000110011001101101110100110111001110100010001101110101010011110010001000111011101001100100111110101111
58	6	rest	null
64	6	stimulus_random	110111001101010111011011101110111001101100100011111001110110011010001010101110111101001110101010011010111111110010101000000100010111101010011000
70	6	rest	null
76	6	stimulus_random	000111000000111101000010111100000000000011100100101011011101000111110100001101110110001111001101010101010111101100010010011011001010001010100110
82	6	rest	null
88	6	stimulus_random	010011101011110011001011000111000010111010101111010111001000001101000101010100110001001101010000011011001100100000110101100111110011100000101100
94	6	rest	null
100	6	stimulus_random	111101101010100110010101011100111011100000011010111001110011100110101010100101110101010010110110111001111101101000001110001111001001101111100011
106	6	rest	null
112	6	stimulus_random	101011100101001011101101111110001110010011000001000100010000011100101110011011000001101010100100111000000011001001001110000011101101010000011010
118	6	rest	null
124	6	stimulus_random	010110011001011110111111100000000000101111100000001110100011010011101110000101101101000101010001100011111001110011000011100001100100000110110010
130	6	rest	null
136	6	stimulus_random	011010011000111101011110010001000010011110100100100110000011000000110000110111100100111000101111101111000111011011010101011100100110101101011101
142	6	rest	null
148	6	stimulus_random	100011001111001111110000011010011101011011000001100010011101011011100111001001101000011110011000001001000000011100001000100111010000000111000100
154	6	rest	null
160	6	stimulus_random	000000111111011011110011010010010111110111110100111100000100100001100001001010011011011101101111101110010001010010011011001000110010000110100101
166	6	rest	null
172	6	stimulus_random	100110110000010001110000001111001111001101001111101001010100110011111000001000001001000101011001100100100101101100010010101100100000010001110111
178	6	rest	null
184	6	stimulus_random	111000010100010101010011100001110101010101001101000101011001100001001011100010010100110000001111100110011010111100010011111111001110000011000000
190	6	rest	null
196	6	stimulus_random	000111000001100111100111100011010101110010100011101000011011111111100010101111110000110011010011010101111011000110111111010111100011001100011011
202	6	rest	null
208	6	stimulus_random	001000000001110100010010011001001010101001001101011110110110101000000100010000001111011000000001011111000000011110010111011100001010001100001111
214	6	rest	null
220	6	stimulus_random	010001110000011101101011101111000000010010000110101110000011010111000110110010100110011101111110101110000110010101110010001110010000010101001000
226	6	rest	null
232	6	stimulus_random	000011001010101110111001000101000011111111101101000110111111111101100001111100110000000001101101011010100010101011100110100000011000100010001010
238	6	rest	null
244	6	stimulus_random	100111001111010001101100011010000001001000110100001110100001000010010010011100101101000011111011100100111101111010001110100010101010101001100101
250	6	rest	null
256	6	stimulus_random	000001110000101010011010010011110100000100111111001100100100011010111000110011110101101100110010101000011100001110010010011000011001001110000001
262	6	rest	null
268	6	stimulus_random	110111001100101110110000001010011010100110000000011110111111101100110110010001010000001110100010101101110100011011011111011111100001111101111000
274	6	rest	null
280	6	stimulus_random	001011001100101000010111010000111001110001000010101111100101000000111100011010110101100011000011011001010101001001100011010110000100011010100111
286	12	rest	null
