onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	110001100011110011110011011011110110001001000010110101001010000001111001100101001011000110111010100110100111001100111100101011111010010011110100
34	6	rest	null
40	6	stimulus_random	011000101001100010111110001100110111110110001100100101100100010111101110010110011111110001110001000000000010111001010100101110110000100111011111
46	6	rest	null
52	6	stimulus_random	001100100000101001111011001101000110100111010000000101000000111110100010010111110111000101011110011100111101110101001100111110100110000001110100
58	6	rest	null
64	6	stimulus_random	001100011010010000011100010010111000110011110001010001111000010101001110010100110011100001100010100010100010110010000101100010101100001011100110
70	6	rest	null
76	6	stimulus_random	000001010111011010111111011111011111010100110111101111011011011110010001110001101001000110110000100010010100001101110100101111111101111101100101
82	6	rest	null
88	6	stimulus_random	110000010110101111110001010001001011110000011000100000100100101001010000001011100000111011011100001101000001010111001011100110011011000111111100
94	6	rest	null
100	6	stimulus_random	001001000011001111000000111100001101101001011011011111101111110101011101010001101100010001001010000001001100101010111011110001110110011001111101
106	6	rest	null
112	6	stimulus_random	000000110011110101001011001101100100100000001001001101100011101000000111011011101111111110001011011110011100011101011110101100011101010000001100
118	6	rest	null
124	6	stimulus_random	010101010010100010110010001000011010001011010010010111001011010100111011111101001101010010010010010110110000110011000000100010011111111000001001
130	6	rest	null
136	6	stimulus_random	110100001011000101101011001010000011000010001001110011010101011010101001100001111001100111110000101110010000111001100101010010110101010010010011
142	6	rest	null
148	6	stimulus_random	010111101100010110100001101101010100110100011001001011001010001010010100001101010100011011011101001001001010111100000001111011010000000111010110
154	6	rest	null
160	6	stimulus_random	101001001000001010100001011000101101001100110000100111001111101101100100111011011110101100101100001000101001000011110100110111110110101100011011
166	6	rest	null
172	6	stimulus_random	000101011001000110111111111011101111111001000110111011001111110111010101010001010110001000011110100000101100011110011101111001110100011100111011
178	6	rest	null
184	6	stimulus_random	011010100010111100111110010011001100110010001101110101000010111010101110010101001001001000110011101100010011000010010110000011011111101110010111
190	6	rest	null
196	6	stimulus_random	101010001111001010110000000111000010101010010111010100010100010001101011101110100110001101001110001100010111101110010111110101111110010011001010
202	6	rest	null
208	6	stimulus_random	100110101100110111101100001100110000100011100001011101100111101110000110110101000111110001110010110001010000101000001010110110011100101011110101
214	6	rest	null
220	6	stimulus_random	010010010100100000010001101101110111100001010000110011111010001011111011110010010000010010110100000101010001011011100111000001111110111001000000
226	6	rest	null
232	6	stimulus_random	111100111000100000011000100001111001101111100000100011001100001110011101101111011110011001000100110001010010011111111111000111000000000001111001
238	6	rest	null
244	6	stimulus_random	110111101011000100001001110011011001001011110100010011110000010111100100010111011110001001000000010011101101010010110111001111010011001001101000
250	6	rest	null
256	6	stimulus_random	000001000010010011000001000011110010000011000110010001111001110101101111100110000010100001110010101010011010011000011111011011111000111111110111
262	6	rest	null
268	6	stimulus_random	110011011010001010101010111000010000100111010000011110101110011110110101011000111100100101000100001010011101111110001100011101100101100100011101
274	6	rest	null
280	6	stimulus_random	010100010011010100101000000101001101110110101000001110010101011001111100011001000001111011011111001001111000110110110011101110101101010001010101
286	12	rest	null
