onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	001101111001111101101010111000100011001000100000111100111110101000000000110111010010000000111000111111110111110111110100101100011101100100011001
34	6	rest	null
40	6	stimulus_random	010110001000001100100001110010111011110000100001100100101010010001010011010110011010011101111011110010011110110001000111110110010100000111100100
46	6	rest	null
52	6	stimulus_random	100101011000001100101110000110011011110101100101110001000000010000110010101101110100100010101010110111100000110110110100100100001100000100110010
58	6	rest	null
64	6	stimulus_random	010111111100110111000101011011101010011001111101100100001010100111110100111111110101001010001001111001101011101101010101100101100101101111100111
70	6	rest	null
76	6	stimulus_random	010101011011100111010100111100101000001110100110110100000011101111000110110011101111111011011101100101001100010110010111001111011010111101010000
82	6	rest	null
88	6	stimulus_random	110000010011011100010000011100000011011011111001000111100111110101100100000110100110010110010111110100000001000100011110110101110011011000001110
94	6	rest	null
100	6	stimulus_random	111100001101011000100011011011001101000011101001000010111100110111100101111011011010110011000111110100001011111110110110001110110100000110111110
106	6	rest	null
112	6	stimulus_random	000101101001011000100010011100100100100011111001111100110100111100110100100111011010000101111100101111111110010000010010010100100101001000011001
118	6	rest	null
124	6	stimulus_random	001110001001000000111101101100000011100100011010110111101001110000111110011011010101010010110110100111001000000100101000010110100000110000110000
130	6	rest	null
136	6	stimulus_random	010110110100001011111000110101000110110100100110000011010010010100111000100101111101100011111011011001010101111100010101100000001010101000110010
142	6	rest	null
148	6	stimulus_random	110100010111011011000111011110010011011100110110001111001101000010001010111111001111001011000111110110000001111111111111001110010100110001000001
154	6	rest	null
160	6	stimulus_random	000010000110111111100111010000010000010010011110000111100011111001101110000100100100110100011011001010011010010000010011010010001101000001011110
166	6	rest	null
172	6	stimulus_random	001100000011000101000111010110011010011101011010011100110101110110010101010111011100111001101110100010110001000101010001001010100001011100111001
178	6	rest	null
184	6	stimulus_random	110110101000011000010001101010101011011110111100000110001001101011011111111100011110011110111111101111111001111011000011000000001011101100000011
190	6	rest	null
196	6	stimulus_random	110111011100011010110001000011010101110011001000100110101111000000001011000010010000000111111000100101111000000001001001010010010110101100100011
202	6	rest	null
208	6	stimulus_random	111011010010011101101111000001101111010100100001110001001011111101011010100011000001000010110101110000111011001010100011011001101000010011010100
214	6	rest	null
220	6	stimulus_random	001000001011110010101011101101100110011110100010010011010110000110110001011101000001111011010000111010100111001111010100111011000111010001010111
226	6	rest	null
232	6	stimulus_random	001000001110010001101010001001000101110111100011100110101100001100111101001111001010111010001111100101111010000110110111111001111100001000101100
238	6	rest	null
244	6	stimulus_random	000111011101101010111111001011000010011000100011100111000011001001110110110010000000011001000010001000000001001111000101011001011100010110100101
250	6	rest	null
256	6	stimulus_random	010001001101010111001100111100011001011000111000001111010111010110110000011001000000011110110001000000111110100111000110001100111000001011010111
262	6	rest	null
268	6	stimulus_random	010101000111000001001100001011100000010010110111101100111111001101101010011111100001011010110111001101111110001110010000100111111101100101100111
274	6	rest	null
280	6	stimulus_random	110100010101111000010111000101101101001011110001111101111100110010100001010010111011111100100111001110100110001000111010011001010101010101101001
286	12	rest	null
