onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	001101010010000011000010010110010100110011111111001010100100110001000111101101010011111000001010111100001111110011000001111010010111010110100110
34	6	rest	null
40	6	stimulus_random	110011010110110101011011010100110100000010000011001010101101001110100010101010100011110001001011011110001100010101110110001001100100000010001111
46	6	rest	null
52	6	stimulus_random	100010110110110000000110101010011010111010011010101011111000011011110110000111110111100000010100111101010010011110101011111100010100110111001101
58	6	rest	null
64	6	stimulus_random	001010100011001110110111010001110000001001101001010000001111101011100110101011110111111100110000100001101100110100101001111001101110101110110010
70	6	rest	null
76	6	stimulus_random	110100110110101110101100100101111001000001001101110100100101000000111100000101111100101000000101011111110010100111000100001100000100010100001101
82	6	rest	null
88	6	stimulus_random	011101001101010011011100010101011110010100000111000001001101101100100010001010110110101001001101010001111100101101101010001101111111110011100101
94	6	rest	null
100	6	stimulus_random	011010110101111011101101011101111100010101011101111000110110100001011100110101000101010010100101000001011010001110010011110010101110011011101010
106	6	rest	null
112	6	stimulus_random	111011001001001100111010101011100010011100101001001111000011000000000000110110001111000001100110010110101001011111101010000011111100110111000111
118	6	rest	null
124	6	stimulus_random	110100010100110111011000101101100011001000111011010111110011111100011010011101000110011000000111010111101100100011110101001110101111100101001110
130	6	rest	null
136	6	stimulus_random	001111001010111111001000001000101001110001011111111011111100011111100110001001010100111000100100100111010110110001100111001111110001001010100001
142	6	rest	null
148	6	stimulus_random	110100001011100110010000111011110100110110010101110101010101011000011100111011011001101101001000100111111101000100001011011111100001011100111001
154	6	rest	null
160	6	stimulus_random	100101000110100110010110011101000011101010000010000111100011100011000010001111011010000000101001111011110000000001100001001000111000001000110000
166	6	rest	null
172	6	stimulus_random	011000111001100001100101101010001001000010110010010110111001100110000001100110110100010001011100010010000001111000010011001100101001010101100101
178	6	rest	null
184	6	stimulus_random	001000001111011000000100111111000011001010011011110001011000110101101000110100101001101010100011010111101110011111011111111101010011011110010000
190	6	rest	null
196	6	stimulus_random	110101010101101101110111001010111001101100100100010100110010101100110000101110000010011000010011101000101010111010001111111100111100110001100011
202	6	rest	null
208	6	stimulus_random	100010011011000100110010100111110110111001011011001101101110101100000011101001010010100000100111110100110010100010011001110000111000110000111111
214	6	rest	null
220	6	stimulus_random	011101111001110111011111100111111110010111001111100011010100010110001111101010000110110000001101111110111000101101010011011010011111010001110101
226	6	rest	null
232	6	stimulus_random	111000110001100001101010100011101111111110111101100111110001111010001111001101101010010100011001000001111101111100100000001100111011100010000100
238	6	rest	null
244	6	stimulus_random	010011100000110110110000011000110101001100010110000110101000110111000100100011111010011001011100110100101111010111001110000001011100001111010001
250	6	rest	null
256	6	stimulus_random	000110000101010010100011110001010101111001111000000101101111111011001100101000110100110110110100010001010011111101010110010000110110000111101111
262	6	rest	null
268	6	stimulus_random	000010000101011001011101100110011100100011110011100110001001001110101110101100010110011000101010101000010111100111010101011101000011110111010010
274	6	rest	null
280	6	stimulus_random	010010100101000011001010001111110000011000100101111100010000110111011100001110111101001000000100111010011010110000111001100111001100000111001110
286	12	rest	null
