onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	100100111111100010101110010110010111001010000111011001101010100011011010110001110111011001000111111010001100001110011000010000110011101111110010
34	6	rest	null
40	6	stimulus_random	101111111010000111110010011000010111110110011001010010110100001100101101010010011010101110010011000011110100000011000110101110111010100001001100
46	6	rest	null
52	6	stimulus_random	101100001000101111100101010100011000110111010110100111110010101011100001101110000101010011100001110000010001101101010011000001000111001000100100
58	6	rest	null
64	6	stimulus_random	011010111101110111101010000011000100000110010011111111100000111100001010001101111010100011111100101011110111110011100011010000001011100100000000
70	6	rest	null
76	6	stimulus_random	000111100011100011010001101110000101100011101101111001111000011101001000011101010000110011000111000000100000110001110000101110010001111100000110
82	6	rest	null
88	6	stimulus_random	001110010110110111010001011111110110111111111100100001111001101010011000110000111110001010100111001011101000010000011110100011000010000000011100
94	6	rest	null
100	6	stimulus_random	010100101101111000110011001001111011010011011100111010110000001111101001011000001111010111011101010101000110111011100000001000000111110111100011
106	6	rest	null
112	6	stimulus_random	100010010011101110110111100111110100110010001101111111111000101010001001011000101100111011110110010000000101111000000010100101111111101010100010
118	6	rest	null
124	6	stimulus_random	001111000001000011001011111000110101100111000101011101001000110111111100000110101001110101010110011000000100110100111000000110000010000101101011
130	6	rest	null
136	6	stimulus_random	111001001011110100000010011101100110111000111001111101111010011001001100111011100000011110011100010010010011011101000110010000001001011101110101
142	6	rest	null
148	6	stimulus_random	000110001100110000101100000011110011101011100110110101010101010101010111010000111100110000010101111001101011000010000001101111010100011111110111
154	6	rest	null
160	6	stimulus_random	100100001111001100011110010110100011011011011110011001100010001010110011010110011110111111111110100101000111010010110101010000110010010001111110
166	6	rest	null
172	6	stimulus_random	000101011011010100000101111110111001011111001111111110100001111111000101101111011000001111001011100100101110000001011001001110111001111001101110
178	6	rest	null
184	6	stimulus_random	101100001010101111111110101100111101001101111011000101010001010101000111011111111101011111001000110110000101101110110100110011001101101111000001
190	6	rest	null
196	6	stimulus_random	110110010101100111010001111011110011101001110111110111100001010110001000111110100100001110001011110001110101010100111111001110010011000001111011
202	6	rest	null
208	6	stimulus_random	101011010010101001001011101001010000101101010011000110000000101110111011000101010110111110100110110001111110100100100000101111101000011110111110
214	6	rest	null
220	6	stimulus_random	011101010011110000110100100000100010101100110000001000100011010000100101110001000000011100101010001100010010001001101011101000101000000010011011
226	6	rest	null
232	6	stimulus_random	101001111011111110011000110111010110101110111100111010011111001111001010000000110101001010100110001010100101010101000100101111001101111100000000
238	6	rest	null
244	6	stimulus_random	100001111010100001101100001001111011011001000111001010101010111011100100011100110001011100011001010110110011000111001000010001000100001010101111
250	6	rest	null
256	6	stimulus_random	101100111000000010001000010000001101000000010000100011000011111111101010101010111000101100101010011000011110011111101010111001101011101001111001
262	6	rest	null
268	6	stimulus_random	111111000010011100000110010010101010100110011001000010010000000011110010101001100101110110110100111011100000110111110101000101010100110001000100
274	6	rest	null
280	6	stimulus_random	111011010011011000010000101110100101011000000100110101000001111110110010000010011101000110000111110010101000110001010001001110000101110010110001
286	12	rest	null
