onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	100111111000101011110000110000100100001000110111101101111101110011110011101110011000000111101010110111010001001101010001010110110110011001111111
34	6	rest	null
40	6	stimulus_random	110101110000111010111000101010111010101111000001001100000101010101000110111010111001110000001010101001101010101110000100111101110001100110000100
46	6	rest	null
52	6	stimulus_random	000000000100000001001100110011111110110111111100110011111000101000010001010100000010110101100011101101101100011011111100101101001011101010000110
58	6	rest	null
64	6	stimulus_random	001111101000100000011100010011010001110010010011111101011001011100100100100100100100001100011011110001101010000000000001010011110001000001000011
70	6	rest	null
76	6	stimulus_random	110001101110001101101011100110010110011000011100000000010101010000001001011011010001100100110111111101111011101001011101110001100001000010001001
82	6	rest	null
88	6	stimulus_random	011011110010100101111011011011011011110111101010100001011111011101011011011000111000101111111110111010101011100100000000000100010111111001101000
94	6	rest	null
100	6	stimulus_random	011010001101010100100011101011010100000011001010010000011101101001100011011100110011100001110101010111110001011110010100011010001001111110101010
106	6	rest	null
112	6	stimulus_random	111010111100110110100000101100010101111110010110011011101101110110100000100111111000110011111000100111010011111100110011000010000000100110100000
118	6	rest	null
124	6	stimulus_random	000010000101010001000111011100010001000000011011101111101000010101001010111100010100010101001001111011101010000001010100000100001011001100000110
130	6	rest	null
136	6	stimulus_random	011110010101111000010110011010011010000100000111111001101011110000100110111110101001011100110011100001001111101011110110101111101011010010110001
142	6	rest	null
148	6	stimulus_random	001110000100011111100011001011000110000001101011110111011100011010001101011011110001000110011100111001001001110110101010001010111111010100101110
154	6	rest	null
160	6	stimulus_random	100100010100111111000001110000001111011100011000110000011000010000000111011000111101000101010000111001010010001001010001100111100101011010111001
166	6	rest	null
172	6	stimulus_random	100001011111101110000010110101111001110011111101011010010000010110010010000111101100101111100010000100100101010011010110000100110011111000011010
178	6	rest	null
184	6	stimulus_random	011000011011101000100101001001001111011001011001010101001101011010000001100001000010011111000100010100111010011101101011010100110111011100101111
190	6	rest	null
196	6	stimulus_random	101110111001010001110101001101111110110010010011101000010011011001100110000101101001110100000110110001010000111011001111011010111101101111101011
202	6	rest	null
208	6	stimulus_random	000101111100001010011011001111010011101011010011000111001100100101100101110100111110111111001000100100100010101100001101110100110111010010001011
214	6	rest	null
220	6	stimulus_random	011010000000001001001000110000001111010011001111111001100000000101000000000100100110100101011010111011110110110011101111101100101011010001011111
226	6	rest	null
232	6	stimulus_random	011010001011010111001000001111100111111100111011001010111000111101111101011001111111001100101110111010100110011011101110111111101010110001010101
238	6	rest	null
244	6	stimulus_random	100100110000000001110110111001100111111001101111100000101011100111001010111110101110010100100101011000001001000010101110110101000000110101011010
250	6	rest	null
256	6	stimulus_random	100000011111111100001000101011110100101011010011110000110111100110001100101011010100101110110110110010100111010001011000000010001011111001110111
262	6	rest	null
268	6	stimulus_random	110111001001111101111111101011000110101111001101010110111000000011001001000011111111010110101000100111110100110011001000110100010001100101000000
274	6	rest	null
280	6	stimulus_random	110110000010011111110000011000110001110011001010000001110110100101100110110111110000111000101010111010011111000100100111010001111011011011110010
286	12	rest	null
