onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	100111011001010110111110001010100100110101000100110110101101011000100111000011110110110111010100000000110001110100100001110110011110011100010001
34	6	rest	null
40	6	stimulus_random	010111001101001110001110010110101000011100000000111001001000110101110100010110101011100110001000011011111111011010011010111010001011001000000101
46	6	rest	null
52	6	stimulus_random	100100111111111110011010001011000010000000101100011000101010101100100101010010100000000110101101110010100111011111111100011110000001000111111110
58	6	rest	null
64	6	stimulus_random	011100011110110001010110010111110110011101100110111101001111000110001000101001111010000011101010100010100100101100111101100001101101100010100011
70	6	rest	null
76	6	stimulus_random	100011110101010110001111100111001000010110100110010010100101110100110011101100101101000011110010100001011011100101001100011110101111111011110100
82	6	rest	null
88	6	stimulus_random	111111010101100011000011010000100010111000111000110010001100101011110101001001010010000111100101110000000011000011101011000001111001010011011111
94	6	rest	null
100	6	stimulus_random	011110100010101010011011011110000001101010111010110101001100100110111011110111010000001000001000100011011010100111001000011011101010010110001100
106	6	rest	null
112	6	stimulus_random	010010011010101100110101010011010010011011000010111110100001110100010000101011100100001101110001100110101011111010111000110011110101001011001101
118	6	rest	null
124	6	stimulus_random	110011100110001011000011101000110010011001110111010101011111110101110011000100100000000000110111011011111010100111101100110111110001001011011010
130	6	rest	null
136	6	stimulus_random	010110001011110011101000111100100110011111000100110101111010000011000100000111110101000011000011010010101111000110101101101000110110010011111110
142	6	rest	null
148	6	stimulus_random	101110111000001011010101111001100110110010101100001111010100010001100100011010011111011010010000010001000010110001111000010111111011101110010000
154	6	rest	null
160	6	stimulus_random	110110100011111110101101101100011100000101011000110000100110110000100111001010001100011010100111100100101010000000111001111111111101010100100100
166	6	rest	null
172	6	stimulus_random	101001000101110101000000000101100110011010101010110010101011100011100100111001100100011010001011010110001010111100010100010111001100110011101001
178	6	rest	null
184	6	stimulus_random	111101001000000011011010111000010100011111110100111001110000001000010010101011101101111011000001101001100101100000101100001110111111111101011111
190	6	rest	null
196	6	stimulus_random	001111000001111110101100010100001011111001110001000000101001010100001101001110000000001001110000001001100110101011111100111110000101000110010001
202	6	rest	null
208	6	stimulus_random	001100011111101101011000111011000101100011101011011101000100011101110101001011100110101010000100001000010111101100100001110101001101010111111111
214	6	rest	null
220	6	stimulus_random	100100000101110011101010000111010011010111011110100001111011010110111010010010010111110001011011110111100010111110111100011100011110100111110101
226	6	rest	null
232	6	stimulus_random	100100011001001000110000100011110100011000100000110111101101010010111001000100010101111011100000111100000010110111111001000100101001100011000100
238	6	rest	null
244	6	stimulus_random	001111001100101011001010101111010101001110110111001010111010011011101111100000111101110011000001110111010001000001101010011111011110001100001111
250	6	rest	null
256	6	stimulus_random	111000111010011111111010011001100001001000000111000010100110100101001110111001010100001100110100001001110110000100111000010010110111110010100111
262	6	rest	null
268	6	stimulus_random	001000100101110000101100111110111000010111110001100001110100100001101000110010111110011110010111101011011110010100100000111010010001100010011010
274	6	rest	null
280	6	stimulus_random	000110110111111000001100100000110111001100101110100000111101111111010100001000001011100010100100111111000000111001111011001101111011000001110010
286	12	rest	null
