onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	000111000010000000110000011011010110010110110100101101000011000001101101100100101110011010001111010111010010001111110001000111100100110110010010
34	6	rest	null
40	6	stimulus_random	001001110001001100100000000001011000010011001000010000110111100111011010101100101010011010111100000010110001011000000011110111101100101101011011
46	6	rest	null
52	6	stimulus_random	100110011100100110101111010001101100110101010111110001000100001011001010000001111011100011100011110011010101011111011000101000101110100010010001
58	6	rest	null
64	6	stimulus_random	111000100101110010110010010011100101011100100101100111100101001001111101111010110010101000100100110110110000110010101100001101010000001000000000
70	6	rest	null
76	6	stimulus_random	001101101110000101100010010111000100100101111100000111111111001000111110011101110101111101101110100100101110000000001111001100110011010101000110
82	6	rest	null
88	6	stimulus_random	111101100100110010111010010000000010001001101101010011111000100111111011101011110110100010011111011110100110100100101110011011001110100011011010
94	6	rest	null
100	6	stimulus_random	111011011110111010001010110110100110000011110110011001001101011100001000111001000001001010011000001100101001000010001101100000100111110110011011
106	6	rest	null
112	6	stimulus_random	010011001000000100111000101101001001011111000011101001101110100000011111111110111110010110010010001101110101110001000100100110000000111011111010
118	6	rest	null
124	6	stimulus_random	110010010110101100011010101101011011100001000101101110011011110111111101111011001010011011100110101010010100110111001111001110100111000011001100
130	6	rest	null
136	6	stimulus_random	011110100110111000101111001010001101010010011111010000011001000101111100111111001101110001011001011011010100001111110110010110001001111100101001
142	6	rest	null
148	6	stimulus_random	000000101001001001000000100100011100101100111001000010001001010100011110111110000010110100101110010111101001000100001000001000110011111000100101
154	6	rest	null
160	6	stimulus_random	000100010100010100001011000001010010101111001110010010000101000010000100001001110000010111101101011010001010010001101011110001001011101011010111
166	6	rest	null
172	6	stimulus_random	110001010101000110010111000100010110010110100111111000010010110000011111000101000100111011010010101000010110011111101001010000010011010011100010
178	6	rest	null
184	6	stimulus_random	001100100000011011110011011011100010101011010111000100100111011111111110111010010000011000011110111000010000101000101011100011100011011010010111
190	6	rest	null
196	6	stimulus_random	110100000000010111001001100000000110010010110110001011001011001010100110101111010100100101100101100101110001010010000100001000111101110000000111
202	6	rest	null
208	6	stimulus_random	110101010000110100111010000011010010110010011001010100001101101111000100010101100101011100010011001001000110011111011111010000110011110000011000
214	6	rest	null
220	6	stimulus_random	101001111101000000101001101101110001000001100111111000000110011100101011001100111000110000101001111110111111011000101001100010101001111110100000
226	6	rest	null
232	6	stimulus_random	101110100000001000110111111101010001110110101111010100011100010011011111110000110101101111111111101100011010101101111101001001011001101010010111
238	6	rest	null
244	6	stimulus_random	010100100101100110101010001000100000010110111010101001000010010110111000010001101010111001101110110000011011110111101001111011110110110110000111
250	6	rest	null
256	6	stimulus_random	000101001100111110111111001110001010100111100010111101110101110110010111110011101111110010111101111001110100011111100010110110100000011001010111
262	6	rest	null
268	6	stimulus_random	010001001111011000110001011010010010011101010000101111100001100111011010010001001110011010101010110110011110100001011111010101100001010001001011
274	6	rest	null
280	6	stimulus_random	100110010110000111100110100011000010010011011110111010011011110010111100010011101110010100110100000001100000011001011100010000110010001011011011
286	12	rest	null
