onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	010101110111110010111010100011010100111011101100010001101011001111111110111110001101100111111100011101000111100011101100100000000111010011110000
34	6	rest	null
40	6	stimulus_random	000111000000111010101111011101111101101000111111101010011111100100010110000010000111000010001100000010010001010001000000100001111011000010000101
46	6	rest	null
52	6	stimulus_random	000111110011000001000010000100000000000110011110011100000111001001001001111111110011000001110011110101011111010111110111100011100111101001100101
58	6	rest	null
64	6	stimulus_random	101111010001010100111110011010110010011011010000000110100100001101110000100011010001010111101111001000011000101000101010010111100100000101010100
70	6	rest	null
76	6	stimulus_random	000011111001010110101011011111000101011111101110111100100010111001011001110000010011101010001000111100111100111001011101001101001001101011110001
82	6	rest	null
88	6	stimulus_random	111000111101110110011101111111011000010111010101000100100000110011111000011100110110110111100001000011010001010111100010001100010011111011010110
94	6	rest	null
100	6	stimulus_random	110110000101001011001101110000000110110010010010001010101001111110011100001111110111010011100111101000011100010101101111110100010100100100011000
106	6	rest	null
112	6	stimulus_random	101101101000111010011001110001100010010101001110010011100011111110001001000111000010110110010000001101011000110111110011101001010110110011001000
118	6	rest	null
124	6	stimulus_random	010101010110100110100110010111011010101001001010010101001001000000010010010110011010011001111001001011001011100000110110111000001101101100010110
130	6	rest	null
136	6	stimulus_random	110111000101000100001000011000001110110101010001110010011111011110100011010110100000100001011101011110111100111010101000011011111010000101111000
142	6	rest	null
148	6	stimulus_random	011110001101011011111011000100101111010110000101111110110000110100111111110100011011000011000101000100110010001111001011001010010000000011110110
154	6	rest	null
160	6	stimulus_random	111001111011101001000011100000001010110100101110010110100001101000110101010001110111110111111110011111011100100111110000111010101110011001001110
166	6	rest	null
172	6	stimulus_random	110001001011010100111111011100111000110011011110000001100101101101001011100111100000011001011001111100010100110001101111011000101000110101001110
178	6	rest	null
184	6	stimulus_random	110100000010000101110001010010111000110000110111111111100101110101110010010111101111010011011111101000100110101000100110010011111100100010101101
190	6	rest	null
196	6	stimulus_random	111010011001110001010111110000001101001010110010000110000110100101010011111111100000110001110100000010111011111010111110110101101110001101000101
202	6	rest	null
208	6	stimulus_random	010101110100111111110010010111100111110010010101100011101001010110100001000101111111011101000010010000110101000111101110110000111111000100101011
214	6	rest	null
220	6	stimulus_random	000111001110101001101101100010010111110001100111000010111100010101010001000111110001000101100001100000011011101000110111000101110010011110001010
226	6	rest	null
232	6	stimulus_random	010111100101010110100001110101101111110100000111110110001110010101101100011100000011010101111001100110001110100011100010101101111111110111100100
238	6	rest	null
244	6	stimulus_random	001110000001111100000101000101001010110000010101001010001011010001011011000100110000011001010100011001111001101000110110000111001000110100011001
250	6	rest	null
256	6	stimulus_random	000010000011111001100111000111111011000111110101100101111110001000001010110111001101110101101001011001010101000111111000000010000101110101010111
262	6	rest	null
268	6	stimulus_random	010110100101100101111010010011111110100001110100001010000000000101000000100100110010110101011100110111001101011000100001101111000011001110100001
274	6	rest	null
280	6	stimulus_random	011000010110101111010101000001110001111101001000100100100011010011001100101011010010111010010000100100001101000010000111110100111100110100000001
286	12	rest	null
