onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	101100011100101101011011111011001111100001000010110100011110111001011110000101101000011000010101110001011000001010001101011100101100000000111010
34	6	rest	null
40	6	stimulus_random	111010011000100110010000111111011100010100010110001011110000001000111111000011100110100101001011010000101010010001001011100110011000111101011101
46	6	rest	null
52	6	stimulus_random	011000100001010111100111000101111000000110111100011110111101000101101010101011001011010011111000011011110101001000110101011111100010100011100111
58	6	rest	null
64	6	stimulus_random	010100010001100110101101010110010100101110001000000011100001110000011001000010100011010000001100110001000101000001000001000101100111110000101100
70	6	rest	null
76	6	stimulus_random	001010100111001011110011110010011101110100101001000011110111010101110001001111111111000011001001110011010000001111001111100110111110011010110010
82	6	rest	null
88	6	stimulus_random	111010111100101100110011011100111000010010001111101110100100000001000111111000001010001010100000000000001110010010010010111110011010110001001001
94	6	rest	null
100	6	stimulus_random	101110001110001000011000111000010001000101110110111011000111000101110000100111001011001100111001001101111011110110011110101011001101001001100100
106	6	rest	null
112	6	stimulus_random	100011011111000011010001110100110001000110000110101000100001000001111010001010100110010101010001011000100100000110001011001101000111111110001010
118	6	rest	null
124	6	stimulus_random	000111111101011001101100000010110001101110100011110001000011100010011000100100011001100111001111101101100101100100001010101010100011111110011011
130	6	rest	null
136	6	stimulus_random	101100110101011100110010110000000001010111111010111001000000011011101001001110001100000010000100100011001101100110011000110111011000001101101001
142	6	rest	null
148	6	stimulus_random	011000000011011000111000110101111100100000001111010110101101010011111111001011111001000000011111101000110100011100010000100111010101011000000000
154	6	rest	null
160	6	stimulus_random	011011011100111111011100110101011111111000100010001111110111001110010011110101010101111100000101100111111100000001101001001000110101101110011011
166	6	rest	null
172	6	stimulus_random	011011010000000101101111110111101110101111110010101011011001101110000010110000001101100010111110110111101010111101011110101011000111101000010101
178	6	rest	null
184	6	stimulus_random	010110101011110111100001101000011100110001101010100100011001100110100111001000011111001100101000000101111111010100101110011111001101001110010010
190	6	rest	null
196	6	stimulus_random	110010100110000100111100100001011001110010010001110111001110000111001001101100101000000001000111010101101011100101100000000111000011000000111000
202	6	rest	null
208	6	stimulus_random	000010100101110100110110111111011011000010111100011010100000010100101000001011001001101010010101011110011110011001101000111100101000001100000001
214	6	rest	null
220	6	stimulus_random	100000111101111111001101100000000010001000001011100011101110001010111111010101000000000101101010000011011001011110001100111010010101110111011110
226	6	rest	null
232	6	stimulus_random	100011011110101001011010111101101111010010011101010011011100101011100100111101000001001010111010000001001001111001010110111011011101000101001010
238	6	rest	null
244	6	stimulus_random	010011001111000000101101100111110101110101001000010010101011101000101000001000111001000100000011000001110011011111110011010001101000011110000010
250	6	rest	null
256	6	stimulus_random	111010100100100011001111011000110111110110101010111010101100110010101111001001100000011101110001000111100010010001010000101000101110100010110011
262	6	rest	null
268	6	stimulus_random	010010001011101001011010011010111110011101100010000111111111111000100000010000110111111110010001011011110111100000110101100111111011001110110100
274	6	rest	null
280	6	stimulus_random	101100100101110110010110011000001110111010000000111100101111111011011100001100110001110011010000110001010101100101000100011111010000010100001011
286	12	rest	null
