onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	001000011111101110010100101111101101001110110100110110111001000101111111110101111001000001111111010101100000000100110101001111110011000011101000
34	6	rest	null
40	6	stimulus_random	111111100001101101000000100111011110111000110010100011100111101011010100101100000111110001000001001000011000100101100110010110111010101111101100
46	6	rest	null
52	6	stimulus_random	110001111111001010110100101001110010100110000100110000100001111100100100001000010101000111111110001011110100100010010110001111011001011111101011
58	6	rest	null
64	6	stimulus_random	001011011110111011010011101010001101001110011100110010111110111101100101101110010110101000111010010100100100101010001101000111000110101101010111
70	6	rest	null
76	6	stimulus_random	000111010011011001110101100010000111010011100011101110101110111010111001000010001110001000011000001011010100111001101111100010000011011100101010
82	6	rest	null
88	6	stimulus_random	111010100100111010111011111101110010001011100110010111100011101101110000000111011100111110110000111001010110101100101101110001000010100011000000
94	6	rest	null
100	6	stimulus_random	000011011000010011001011001101111011011100111111001011011110111111011100010101110011110110011011111100011100001101001111011111100000000000001010
106	6	rest	null
112	6	stimulus_random	010110110001000100001101100001000001111101101100100100111010001111011101100000010101100100010101001011011000001011001110100111110110010111010000
118	6	rest	null
124	6	stimulus_random	000000001000101010110101010100010011110100001000111110100111011100010011010011000110110111110000010010101001110101010101111011001011011000000111
130	6	rest	null
136	6	stimulus_random	000010010100100000111000101010100010001110111101101011000001000011100001101111101011010000101101111010110111110010010001111110101101010001001110
142	6	rest	null
148	6	stimulus_random	101110110101000001000101001100100101011001000100010100001100100011101110010110100011101001000110101101110001000000001110000011111101011101110001
154	6	rest	null
160	6	stimulus_random	000101000011111001100001010001010011011111110111110100101110001000010000110001101100111101001111001010010000011101001011011000010101000011100100
166	6	rest	null
172	6	stimulus_random	111000010001010100001111100110010011010101111001110110100010101111100110010111111110110110100100000100111100010110101001100011111001000110000111
178	6	rest	null
184	6	stimulus_random	010000101001101010101000100110001010111111000110000011101110100001111001011110000111001000001000011101000111100111100110010001001010011110000001
190	6	rest	null
196	6	stimulus_random	101111011010000001110101110001010100111010011001000000000100001000111000000011011001001100100101111101100001001010011101111111010101011100010111
202	6	rest	null
208	6	stimulus_random	011101111010011110010100001010001101010101111010000010000000011011100101111101001000100111111101100110111101000010100100011111000010000001101100
214	6	rest	null
220	6	stimulus_random	110111100011110001010110010001000010110000110111010011110011100110111011101111011010101111010000011111001000110011110100111111110000000101111100
226	6	rest	null
232	6	stimulus_random	001010101100010111101011000101100111011111000100101101110101001010011001000111011000010011010000101111011011000110011001111101011011011000110011
238	6	rest	null
244	6	stimulus_random	111010111000010101110001011011010000110011011010100011110010100011010101111011000111011101100111101000101100001001101011111101001100110100110000
250	6	rest	null
256	6	stimulus_random	110000111110000111110111011101000100100111101110101101100111000010011110010100000110000001111101101000011010110110000111001001101010111101100010
262	6	rest	null
268	6	stimulus_random	001001001100001001101010101001010101111110001001100011100011100011001010110111111011100111010101011010000010011111100011100010010110011110100000
274	6	rest	null
280	6	stimulus_random	111111111100011010010101110101010100111010100001011011000110011001100100011101100010100101111001000000100100010101101110000111010010100110111011
286	12	rest	null
