onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	000110111100010100111110111001000010000010100100001010110111000011001001010100000011101110111111001000001111101001001001111110001101111101100011
34	6	rest	null
40	6	stimulus_random	100101101110001011000011001001100101010000101110011100110000010001011000101011101000011111111000001100110001001010101001100110110001100101101100
46	6	rest	null
52	6	stimulus_random	111011100110100101101101111100000111111010000110100000001000101100110100011100110001011110111100101111010110101010100010111100010100100111010101
58	6	rest	null
64	6	stimulus_random	010111010011001000001010111010101110110000010000100110000010101100100110010110110111101101000100001000000100111100100111000001111001001111000001
70	6	rest	null
76	6	stimulus_random	100100000101000011101110010010101110011111100001011001100010101100001101111010001101111000101111110010011010111010111011111011000000001110001011
82	6	rest	null
88	6	stimulus_random	010100111110100011010100110001101010111010111010110110011000100000111111101011101101111111100011000000001111100100111111000000100011100110101101
94	6	rest	null
100	6	stimulus_random	111000101011000110010011011111111100111100110010010100001100100111101110101010011010000110110001000000000011011010001100110011000100010011010110
106	6	rest	null
112	6	stimulus_random	111010111100111111000111011000110110010100111011011000011111001001111111010011000011011010110011111001010101111011101010000000100000101110101000
118	6	rest	null
124	6	stimulus_random	000000111100110111110001000110000111001001010100111111111101001010100111110111110101110000100110110010101000101010011111011001101010100011010010
130	6	rest	null
136	6	stimulus_random	001110001000100000110110110111110000011011110010110001011100000110011111111100101000100110101001110001000010100110010010110100110110101101110100
142	6	rest	null
148	6	stimulus_random	100011011000011111100110011000011011001100011100111000010000000100100001011111010100110100100001001101111001010010100011000001001110001101000111
154	6	rest	null
160	6	stimulus_random	101111110010011100011010011100100010110000010010001100110110000001010111111010110110101011010000010010001001111001011100000100011100010000100101
166	6	rest	null
172	6	stimulus_random	000100000010000011111110011101010110101100101100100010111110111100011011011010010001010111111000101001111001000000111011111111110110111000011100
178	6	rest	null
184	6	stimulus_random	011100101111010111000001110100111110001100011011000110000011011000000111111000101101100000101101110000111000000000111000001101011111100111011011
190	6	rest	null
196	6	stimulus_random	101010001001111001010101001001111011111011011100111110100111101000110000001110011100000010110011011001100111100010100100111101000100100101100000
202	6	rest	null
208	6	stimulus_random	111010001111100000011111000010100100011110111000101001100000011110011111111101101001110011010101010110011110000010100111101001111010110111011001
214	6	rest	null
220	6	stimulus_random	110100100111001001000001000000000110101100111100101100100011001100001111101111000101100000111000100000101111010101111010001111110010100100000111
226	6	rest	null
232	6	stimulus_random	110111101111111100000000100101001011111001001101001100100100001101110000101111100101100111100110111001000011101000101011111001000011000110010101
238	6	rest	null
244	6	stimulus_random	111011010110010101110000111000101001111011011000111100000110101001110000101000000011101101001001011110111111000010100100010000100000010111001110
250	6	rest	null
256	6	stimulus_random	000110000000000011101110010001110001110011101111111110000001101110001010100010110000110111000110000111111011010000100011101100000011011011011100
262	6	rest	null
268	6	stimulus_random	010010111000001111101100001010101101111010010011100010011000101011100110101000000110101101110101111000101101011011011100001100111100001110001111
274	6	rest	null
280	6	stimulus_random	101010100011111101101100101001101111010111000100001111111110101111101101000110100000011011110010001110010100011001100011000011010001010100010100
286	12	rest	null
