onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	010101011000110000101100100010111000100011111011000001100010000000001111100010101010011010111011010001101011010010100111011110100001101000101101
34	6	rest	null
40	6	stimulus_random	111111001101101100000010110011101000011111100011111001000000011110010000100000000001011001101110111010000101101010100010000000101001010010101100
46	6	rest	null
52	6	stimulus_random	110101110010001100111111101101111010100101000110101110010110000001011110001011101011000111000000000010010011100001011010010001111010111000100110
58	6	rest	null
64	6	stimulus_random	011111010010110101111110111000111011101110110110100101011100110001101111001100000110010000010001111010100001101101100111010110101101010100111010
70	6	rest	null
76	6	stimulus_random	010101111010110011000001001100010000001101010011101010110100000111010001111001111101000100010010011011101011101010101110101110001000100111011001
82	6	rest	null
88	6	stimulus_random	110001111010101101101011001010101001110111100100110000000010010101000100011110011001010000000000011111000001010001001000111000110011101000101100
94	6	rest	null
100	6	stimulus_random	101101011100011111100110111100001000010001011000011000111110100011001001101011111100101101011011001100001000111011011001111010101001100000010000
106	6	rest	null
112	6	stimulus_random	101001000100011001100000110011110000100010010011011000110100111010100101101111001011111011001100110000001011001001010101110011101000101101001010
118	6	rest	null
124	6	stimulus_random	000010110011011000101100010100111111001011111100011101010101000010110111101101011100010110101010001111001000111011111011110101001100001100111101
130	6	rest	null
136	6	stimulus_random	000000011000000010001100101010011000001001011110100100100001010110000100001001010100101001111110010110011011001100000101111000001100011111101011
142	6	rest	null
148	6	stimulus_random	001010011100010001101110111101000010011101000101000110000101000000011000011000100100100011000011010111001011001001110001010010011101001010110010
154	6	rest	null
160	6	stimulus_random	001001101101000000011011111010001111100000011010111011101010110100100100011011001001011010111100110001001011001100000101011111100011100101010100
166	6	rest	null
172	6	stimulus_random	000001101110110000010110010001111010000111111000010111000110101010101010110101101101010100010011100001100000100000100010010001101011000000010110
178	6	rest	null
184	6	stimulus_random	010111101101011000011101011110011101000010011110111010010111101101100111011111010001101101101111110100001101111011010000101011101111100111010011
190	6	rest	null
196	6	stimulus_random	101110010000010101111011111111011110000101001101100010001101011101001010001101111100001100100000100010101010001111111100001000101101000010011100
202	6	rest	null
208	6	stimulus_random	111000001111010001000010110000110100111000101000111110101010010000101111101110011111000100101101010111001111000101001101010111000110001110101001
214	6	rest	null
220	6	stimulus_random	110001010000110000100001101100000101101001101011011111010111101111101010010000011010111000111000001000110000101110011111100000111111100101001101
226	6	rest	null
232	6	stimulus_random	100001111100110100001000110000110110111110110011011001111101010001000000011000111100110010000011010010001111111011110110111001001000110110001100
238	6	rest	null
244	6	stimulus_random	010010101100100010011100101111100101101100001011010101000001111011100110111110001111101001111000101010111110010100100111010110011101101001010111
250	6	rest	null
256	6	stimulus_random	111101001101010010011001111100110010010001001000110011011000110100000010110110111111001111101111001110010111110001011111111100100101010011000101
262	6	rest	null
268	6	stimulus_random	100111001010001100001000001010001001101100010110100000001100011010011110011100111101111101100111110111100100010001110111110000010111010011110110
274	6	rest	null
280	6	stimulus_random	111111100101001100110100100111100101110110011110011001000101001010000101000100111011000010010011011011011101100110000011100101101010010011100110
286	12	rest	null
