onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	001110000000001011010000011101001110111110100011111001000111100111001011011101100001000010011001101000110101101100101111011110111101101001001000
34	6	rest	null
40	6	stimulus_random	110001111110001101111101011100101101101010000010011001011111110100110111011011110011111111111100111010101101101011011001101101111000011000101010
46	6	rest	null
52	6	stimulus_random	101000111011011000011001010000010000000110001010011010101100100100111111101100101110101001101011000100011001001010100000010111110110001101000111
58	6	rest	null
64	6	stimulus_random	110011011011110010001101010010110011011101011111111001011011011000011000110111110000111011010011101001010101111001000001100010100011001110101100
70	6	rest	null
76	6	stimulus_random	000010110111100010110111110111011111011001111110001111011010010100101110111110100010001100000101111111000011110111001011100110101100000101000100
82	6	rest	null
88	6	stimulus_random	001101101000010011010101100011010110010101111011010101001011101100101000010111110101111110111001001000010100110000101111110000001001001100100101
94	6	rest	null
100	6	stimulus_random	010001111000110001011001010010100010001001100101111101110100100111010110111100110010010001010100101000111000001100010101111100000001010001000011
106	6	rest	null
112	6	stimulus_random	000101010100100001101101001101100111000010010011001100100011111111110011000111100010111000110011000110110100110101010001100100111111000100000100
118	6	rest	null
124	6	stimulus_random	001011000001011111000011001011000110011110111111001011010111100011101111001001010001111110000001101100111001101001001001110101111000001111100000
130	6	rest	null
136	6	stimulus_random	010001111111110100111101010010111111101001011010100100011010100011111100110111000011110100011010101111011001101100110101010001000011011011001010
142	6	rest	null
148	6	stimulus_random	101000001111011000010000110011010010000000000001011101011101110100000110110100101100010001011001111011011100010010000010101010110111000110101010
154	6	rest	null
160	6	stimulus_random	011001010111001110110111011110001001100110010000010011110000101101000010001101000011100000100100111100101011101000111110010101100000011110110001
166	6	rest	null
172	6	stimulus_random	011010001010000000100100110000110101100110000111100111110010001001101110010010100010010111111010111011100101000101110011010010011110111100110111
178	6	rest	null
184	6	stimulus_random	101001111000000000100000000111010101010110010110001101100001110010100100001010110010111111010101011111000111000100101100101111101011011100010110
190	6	rest	null
196	6	stimulus_random	000000100111001111110110111110101101100111000110001010001000110011011000100110111101101101001000000100101110001111011110011111010101000000111001
202	6	rest	null
208	6	stimulus_random	111001111001111111010101011110110100000001101000101110100100001110001010110010110001110010001100100001110110001001111001100010000011010101000001
214	6	rest	null
220	6	stimulus_random	010001011010001111100000011011110000010011110000000000101100100110010000100101001100110110100001100100001011001010010000110101001010110110101110
226	6	rest	null
232	6	stimulus_random	101101111110101001101111101011001000101011001011101000001010110110001000111011101101101011010010000100011010101000010101011000110001101101110001
238	6	rest	null
244	6	stimulus_random	111110011000000000111100111011010110001000100100110011111100100011100100110010111000001010010011100111100101111101011010100001100101100010010011
250	6	rest	null
256	6	stimulus_random	010100011110110011101111111101111010110011111100100111011100001010110010110110110001010110111110110110111010011000011100111111111001111000011011
262	6	rest	null
268	6	stimulus_random	111010110101111111101011001101111111100100001100010011000101100111111000111011001100101100001101100111101000111001100001000101100111100100110110
274	6	rest	null
280	6	stimulus_random	111111010110001011001001111100110111001101010101111000110111100011101101110100110101001001101110001011000010101100010000000010111110011000010111
286	12	rest	null
