onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	001000101100011110111011101010001011110011011010100100011010011101111000001110011110011000101010001110000111111001100101011110110011011111011011
34	6	rest	null
40	6	stimulus_random	110001011111011000101001111001000110100101011000110101111001001110110110110100001000111101010000110001111000111101000010010101100000001000000111
46	6	rest	null
52	6	stimulus_random	100111010001110001110111010111110000111000111100101100100100110010000111100101010010010100110010110100101001000110010100000010011001101111010001
58	6	rest	null
64	6	stimulus_random	100011111001001010110001010001001101010010000100011011010100101100001101101101011001110111100110011011100100100011000100001011111011101010110111
70	6	rest	null
76	6	stimulus_random	100101110001111110110110100101000101111101000010111110001111111010100101000111100101001001001001000011000100111011111111001010010111010110110001
82	6	rest	null
88	6	stimulus_random	011001110001111001110100011111010000000111101101000101100001101010001111001110001111011100000011000011100111011010100011000111111111000101110011
94	6	rest	null
100	6	stimulus_random	001111111101110011111101011000111001100101101001100010001010000010110110110001010001011011001100010000011110010110111110110110101000101001010000
106	6	rest	null
112	6	stimulus_random	010110101010111001011010010011000110010010011101011110110011011011110001001110000100100010111111101101100110100100101101110110000010111010011101
118	6	rest	null
124	6	stimulus_random	110001110101011111001110111001000110010110110110000010011001111000011001010001111101010010111111000100110000110001011111101100100100111101111100
130	6	rest	null
136	6	stimulus_random	010111010101000101001000001110000000111011001110110010101101000010100000110011011000101100010001101000111011011000010101110011111101100011101100
142	6	rest	null
148	6	stimulus_random	000100101000000100001110101010011111000110110000101110010001010010100000011101111001011011111101010100001001110010100111100111110111010101001011
154	6	rest	null
160	6	stimulus_random	111110011001101100001111111011110000111010000110111111011100111101011000011110000111000100011001011011100110011101100001010001001100111101110000
166	6	rest	null
172	6	stimulus_random	111110100101100001011010011101001100101010101000111110101001010011110010111010101001110100101000010100111011000110001000001111110011011001001100
178	6	rest	null
184	6	stimulus_random	000000011011101100001011001101001100000000000011110011010110001110001110010001001001110110011011111100110111110111011001101100111111100001110000
190	6	rest	null
196	6	stimulus_random	011101010000100101001011011000000010000110011001100110110101010001001011001010001100011010100100100000001101000001101001111100101101011111100111
202	6	rest	null
208	6	stimulus_random	101011000000110110101000101100001001101000000011101000110001010011011000100100111100010010001001011010111000111101001010100000000101100110010101
214	6	rest	null
220	6	stimulus_random	011001010111101110001001110011010111101010111111011010101011000100010000100101111010110001010011011001011100101010010101001000101100100010111000
226	6	rest	null
232	6	stimulus_random	110000000000101000111101101101101101100101010101000101101001010011110101011100100011111000110000000011101011111011110101010001111000000010100111
238	6	rest	null
244	6	stimulus_random	101110001011110010000001111110101101111011011001111011001101110001100100000000100101101011000101111000001101100011010001010110100111001111011101
250	6	rest	null
256	6	stimulus_random	110101100101110000010111011100111111010111100001001011011101110000101000000000100100000100111110101111010001101010101111010001011000110111001101
262	6	rest	null
268	6	stimulus_random	001010001101110001101001011111000111000101010011111001000100100101001111000000000100110011011001111000100111000111100010001001110001011010111001
274	6	rest	null
280	6	stimulus_random	000010011010000101000111001111111100011010101110010010011001100001100001110000111111000110011100111101101110011010110101000111001111111100001110
286	12	rest	null
