onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	011000010010111010110001110011010100001110011000111011000111110101111000100000100110111111100001010011000111111111111111101011010110101000000100
34	6	rest	null
40	6	stimulus_random	101100011101110000011001101011101111100000011111110111111111000010011111011000000000101001111100011010001011100000011101100100011110101100001011
46	6	rest	null
52	6	stimulus_random	011110001111101101100010111101010011011001000001100010010110100110000111111111000111110100110001101111001111001010110000000000000111101101101101
58	6	rest	null
64	6	stimulus_random	110100111011111110111110010110001100001010110000100000011111111101000100001100010100001110010000100010100111101101110101100011110011110101110000
70	6	rest	null
76	6	stimulus_random	111100000010001111001011111001010000110001000001110000101110010111011101001001011100011010101011100101001100111011110100101000100101100001111001
82	6	rest	null
88	6	stimulus_random	110110001101000011000011101111000010010011000001011001100010111010001101010011000111010000100110010010001110110001111001100110111100101000001011
94	6	rest	null
100	6	stimulus_random	010001001011111011111010001010001111010010100001011001110011000000110100010111001100011110111011010111011111110010101011010100101001101110110101
106	6	rest	null
112	6	stimulus_random	000101110011001111011111100101000001101100100000001111110111001100011110001001110010010111100101111010111010100000101011010010000011011110110001
118	6	rest	null
124	6	stimulus_random	010011110110011010110001010011111010100101100010010001111011110100111011101100011011100111000011110000011000110000000111111101100001000100001011
130	6	rest	null
136	6	stimulus_random	010100110111011101111010101111001010000011101011000100001111110000011000111100101110100110100100111010111100111010111111011001001111100010000011
142	6	rest	null
148	6	stimulus_random	011011100100101001100001011011011110000010110101100000001010111111100011100011101000101100110000101000011110111011011000001001010111010010010101
154	6	rest	null
160	6	stimulus_random	101110011001100101111011111111101001111101000010001010101010000100000110111001110111010010101100000110001010000010010000001110010000110110000001
166	6	rest	null
172	6	stimulus_random	001010101010001000000100000011110100010111101011000100011100011111101110011000100001111011111111010001011111111000100000000100110010011000001011
178	6	rest	null
184	6	stimulus_random	100110011010110101100110011111011111010100111110001000101000011010010011001000110101110010001101110010011001111100101011000110100011101111100010
190	6	rest	null
196	6	stimulus_random	001100101111100000111011011000100101101011001001010101001111100111111001001101001111011101010100110100010100110001111000010001101100111011011000
202	6	rest	null
208	6	stimulus_random	010000111100111101100111010011000000011100011011011011101000001000110011001011111101101010001110010001001111000101101001011111100000010000000001
214	6	rest	null
220	6	stimulus_random	000001101110100001101100000101000000000010110000110010011101100011101100110100111010111011011111001100101010111111011001010000110010011110101101
226	6	rest	null
232	6	stimulus_random	001100011101011010100100111111100011010010100010001010101111011000000101100000100010000111110010101000111011011010110010000001111101110100010000
238	6	rest	null
244	6	stimulus_random	111111010010000110111000110001000111110100001100111010101111001110110011010101011111110000010010010001111011100011010111001100011110011100001010
250	6	rest	null
256	6	stimulus_random	001100101010110011100111100110011101010101001001101101000011000110000000000001100100110001100100011001100101010011110011100001010101111010010010
262	6	rest	null
268	6	stimulus_random	000000000001100001111111100110010100111100101100010101110101001000100101111000011001001101000111101100000101111101110000001100110011011001000110
274	6	rest	null
280	6	stimulus_random	000111100001100101011101101100110100000001110100000000110011110100100111000110000001000010101101101111001010101101101101100000011110000100001100
286	12	rest	null
