onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	110011000000100000001010000010110110100100110100010111001011100001010001001011011011011110001010100110110010100010100011100010101001111010001111
34	6	rest	null
40	6	stimulus_random	110100011110000001111011110000011111100100100101111101110001111011100111011111001111000000111111101000111010001010101110011111011100010101001001
46	6	rest	null
52	6	stimulus_random	101000100101100100000110100111101101110110000101000011000000110111001001110101011101100011010011000100101011111100011111010111011100000101110110
58	6	rest	null
64	6	stimulus_random	111100110111010001100000010110111110000001011010111100110110000010100010110100101011110011100111101110011000011111000010001100101010110011010010
70	6	rest	null
76	6	stimulus_random	000100011010001101010101101111110000110101011100111100000110100101111100000011111001110011010111111111001100101100110001111011110011100110100101
82	6	rest	null
88	6	stimulus_random	010101001001110100001000010010010001011010100111111010110000001100110110000010011000010000000000110111011110000000101010011000101001101100110100
94	6	rest	null
100	6	stimulus_random	110001100110111100111100110110111100000001001000111010111101101110111011110110010101011001110000010010101110001110000001111110001010011000111100
106	6	rest	null
112	6	stimulus_random	111011010110111010101110001111101110111110001100110111100010110001001100111101001010011111011101101111010001001000011011011101011100100110010100
118	6	rest	null
124	6	stimulus_random	010001000011101011110111101101110110110001010101100101101011000001011110101000001111110010010100010100011010111111100010110011010001101100001101
130	6	rest	null
136	6	stimulus_random	010011100100111111111001010000100110000110111101110011111000101011011111000111000101100110001010000000110010111110111111010001011010101101111111
142	6	rest	null
148	6	stimulus_random	001000110010111000001001110110100000111100010101100100101100101010011111101001011100011001100000010001001111001001001110011000001010010101100111
154	6	rest	null
160	6	stimulus_random	110111100001100100110101010101100010110111101110100110111000011010111101011110101110001110101110101000101000100000000000000001101110010010100011
166	6	rest	null
172	6	stimulus_random	101010110100101011000100001110001110111110110101011110100010110111010011100101011011001001100101011111000110100000010011100010110100100101100001
178	6	rest	null
184	6	stimulus_random	100110010011101110101110011101100111100001010000100000111011100011011010001011001011111010111000100100011011011011100110001100100111010100100011
190	6	rest	null
196	6	stimulus_random	110101011101100111010110110110110100101101000001111111010110111101000010001101110101110010100101010000001001000111101001011001100000101100000100
202	6	rest	null
208	6	stimulus_random	010001011100101011110100010000011110011101010010011000110010100110001101111011001110011110001110111110010100010011111000100111110011100010100011
214	6	rest	null
220	6	stimulus_random	110000110000001101001010101010100010000111011110010010110111111111100011101010111001100010100000111101111011010100010000110011001101111000011001
226	6	rest	null
232	6	stimulus_random	101000110111110111001001111110011001010000100100011001111000100001111110000101001011000001001100101100101111110101101111011111110010001101010001
238	6	rest	null
244	6	stimulus_random	011101101111011011111100010110101101000000100110111011110111100100110111001010100000111111000101111111000111011100000011001100010011100000001001
250	6	rest	null
256	6	stimulus_random	100000001110000111001000000011100110011110011001011010101000110110010101010000000101001001001110110101010101111100101101100111100100010000010100
262	6	rest	null
268	6	stimulus_random	110010100100011010110000111010000100011000111101111010111011010100111110110111001101100011100001011111101100110000110000011001110011101001000111
274	6	rest	null
280	6	stimulus_random	101010100101001000101111110111000011011100010101000000010011000001000010010110111100111001000111010101101000110100101001101100110001100011100011
286	12	rest	null
