onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	010011000010010110110001101110111000101011010111001111100100110011010001101000000111000000111000011000011010010001111010000001010101101010000000
34	6	rest	null
40	6	stimulus_random	010011111101001010100001001101011001000101110010000010100101001100110111011100111000111001100010001010100001100010100100001000111100010110100010
46	6	rest	null
52	6	stimulus_random	000100001110010111000110010001000101011001010011001101010100011100111011010111010110111110011000000101001110010100011110000010011101101101010111
58	6	rest	null
64	6	stimulus_random	001111101110011011100101101000011100110111101011001100001110001100100101100101011101101011010001110000110101011101001100110001101100110011111001
70	6	rest	null
76	6	stimulus_random	000011001010000000001011110011100101011100010101100010010100110101000101000000011100001111101000110001111101010100111100011000010011011011011100
82	6	rest	null
88	6	stimulus_random	011000111111111111110111101101111111001010101000000001010001010000001001010101011010100110110111110010011001101111101011001101110110011000101101
94	6	rest	null
100	6	stimulus_random	111011111010111100010110001111001001000111111000010011001111100010010110101111100111111001111011101101111111100101101001100000101110001001000101
106	6	rest	null
112	6	stimulus_random	110111001001000011000111001100100101000101000010010011100010001110100111001010100010111111101010000101110111100101110010001111101111001111111011
118	6	rest	null
124	6	stimulus_random	010110111111100101011010010101110100110001100010001101101101011101100010000001010100111001000111101011011100000101111111000001110011110100010100
130	6	rest	null
136	6	stimulus_random	011100110001001110010110100001111001100010111111010011111100001011011111101111011101101011000001000111100100111111011110111001110000100001100010
142	6	rest	null
148	6	stimulus_random	001001000000010001001101001000101100110101011110010111001011100101111101011010011001110011010101000110110010010011000011011010001000000110101110
154	6	rest	null
160	6	stimulus_random	000100110110010001001010001111001010001100100010110111001001100100011101011011010010101110000011001101101011111101001011000101000100101110001001
166	6	rest	null
172	6	stimulus_random	001100101001010111110001001100001011101110000000111001011111100000010100100100001011001111000110000101011111100111010000110001110011100111000010
178	6	rest	null
184	6	stimulus_random	100100001101011000011001001010011111010100100000100100100111110011000101011000101100010000011111101001101010010000111100010101011101110000001111
190	6	rest	null
196	6	stimulus_random	110100111111000100001110101010001110010111010101111110010110010000101111111001110011001100110000101101000100000000011011111000100010101110101100
202	6	rest	null
208	6	stimulus_random	000101110000001110010000000111111001000110011010111000101000110011101100100010000111101000101010111011110101100100010011010010110000000100000101
214	6	rest	null
220	6	stimulus_random	011000100111101110010011010011001000100101001100111110101101110110110011010101011100111110101010111110000000011101000000100110010011101000110100
226	6	rest	null
232	6	stimulus_random	110000000010011110101111101100000000100010100101011110100110010110111000111010000001110010011001011101101001011000010001010001111110111111000011
238	6	rest	null
244	6	stimulus_random	110000100011111111000001011100101011011010011010101010111111001110100100001000110000011011100011110100111111111110010111001000110110000011110101
250	6	rest	null
256	6	stimulus_random	111011011111011101100111010000010111100001111111001010010001010110111000001110000000001000011110101011011001010010010000100111100000010111101000
262	6	rest	null
268	6	stimulus_random	011111101111000100011010011000101010100011001110010010100100100001011000110110010100110001010110010110001001110001100100101110001010110110001011
274	6	rest	null
280	6	stimulus_random	111001001101000100000000011001101011000100000100110110111011001110001011111100110000010000110111101111001101011110000001000011100001111100001100
286	12	rest	null
