onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	011010100101110111101000100001010010010101011010010011011011101011100100011010100010101001011000110001101111000000100001101101001000001000111001
34	6	rest	null
40	6	stimulus_random	111000010100110001100100010110011010101111000100100001110110111011000101000111111100101100001101111101010101000010010010110011000011110110001101
46	6	rest	null
52	6	stimulus_random	010010001000110101001101010111010110100110001110000110100011100001110101011111111010111100011100001001110000010110001111000110111000001001011100
58	6	rest	null
64	6	stimulus_random	010100001100110101001101101010110000000010100111010101011011110111110101011011011010010111011111110101010100010011100110011011010010111010010101
70	6	rest	null
76	6	stimulus_random	000100010101111011001110110000111000110001001011111000111100100100011001100000111100110100110110111001110110000101101001100101010110100000101111
82	6	rest	null
88	6	stimulus_random	000100110111111000011110100110010111101001001110011110101011011000101001000000111011000011001111101011000000110101101000011111100000110001001001
94	6	rest	null
100	6	stimulus_random	001000010111110101011010110101000010001100100010101010111100011101101000010110111110010010101000001010101011110100100111110011000001010000001011
106	6	rest	null
112	6	stimulus_random	100101001100111001111101001001001110001101111000011110011111110100011100000010011001101110110110001001110000000010010001111100001101111001000100
118	6	rest	null
124	6	stimulus_random	000000101110000011010010010011101110001101111000101010101101111100110001001000110001101111001111110011000001110110011100010110001011010010110110
130	6	rest	null
136	6	stimulus_random	001101111011110111100001011010010000111000011000010010111101100001000111101010011000101011101101110101011111011100111010111111011011001101100100
142	6	rest	null
148	6	stimulus_random	000100011011001111101100110000010111111011011001111011001111111001101100000101000011010011011111111011110011101110101111000000000100011110111111
154	6	rest	null
160	6	stimulus_random	100101010111011100011111011001101101101110111111010000010001011111000110001000100110100001110100011010100110110011010010011111011110101101110110
166	6	rest	null
172	6	stimulus_random	111011011010111000110000110010001000011101110001010100101001111100111011100110011100111100101100101111100110011100100111010010111000010100000100
178	6	rest	null
184	6	stimulus_random	011000010100110001000100010110101010111011111001100011111011000111010010101100011000001111100100111000100111011101000011011011111111001101011111
190	6	rest	null
196	6	stimulus_random	001110000000000000011110110101011100100000110011110111011111001111000111111000010000010101111100100101101110101111011111000110000111001101000011
202	6	rest	null
208	6	stimulus_random	111001011100101110010000111101010010110111100111110111000010101101010010010001100001111001111011011100101010111011001111101000010001000100011110
214	6	rest	null
220	6	stimulus_random	000100100101011001101010000011011000011001011111000011011101001011011111100001000011101000000110111010010111100011100101010001110111100000100000
226	6	rest	null
232	6	stimulus_random	101011011100101011000001111011101111001001000111101010000100111010010101111001111010001101011101011011100101010101001110000010001111000100010000
238	6	rest	null
244	6	stimulus_random	100110001011001110011010101110100111100010011010001110011101011100001000001101111100101100111101010101111100000010101110100000111101111000111110
250	6	rest	null
256	6	stimulus_random	101010100111001000111011100001100010000010111111001100111000101101011010001000000001001001010000000001010101110110011111111111101000111011111001
262	6	rest	null
268	6	stimulus_random	101011111101001101010111010001000101110001001111011110101111101100010011111111100000101010100111111000101101111011110110010101011000101001011001
274	6	rest	null
280	6	stimulus_random	001110111101110111000101110111000001101111100010111110001101010111010011101001101000010011110010001010010010001000000111110110010100101110010110
286	12	rest	null
