onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	110100001111110001100100101101111111101010010110010001100101111000110100101000100101001101000000111000010101000100001010000101010101010001100010
34	6	rest	null
40	6	stimulus_random	000000010011101001001011010011010101111101001111110100110111101111111110101010110110010010001100010100001111100011101110110111111101010111100100
46	6	rest	null
52	6	stimulus_random	011011011010000001110010011001011100001000111010100110101011100010011010011100001001110111001100101001110010001010110101001001111110000101111110
58	6	rest	null
64	6	stimulus_random	100011110100010011001000010011100100010000111000011111110100011111100000000110010010110110100011111111101111100101011111101101010100010001001100
70	6	rest	null
76	6	stimulus_random	101010010011110010010101110100101110001001011001110011000111100101110111010100001001101111110011000000101110100010011000010011110011001111110111
82	6	rest	null
88	6	stimulus_random	110000011101101110111110101011101001100000010100111110001110010111111010010101011100011000110110100011011111000010010101100111000000110000011010
94	6	rest	null
100	6	stimulus_random	111101000101001110110100011100010001010101011111101011100100100000101111011001010011101001111101001100100101001011110110110110000011011010101111
106	6	rest	null
112	6	stimulus_random	100001001000010011100010111100001101100001010111011001000100010010010110110100111000001010110010100101011110110100101000001110000010101001111010
118	6	rest	null
124	6	stimulus_random	100010101100000110101011000010110111000011110011011000010000010011000100001010010100110011010101101000110111111010010110011100111101101001110100
130	6	rest	null
136	6	stimulus_random	011111010011000000001011011110111110100010011100100101001100101001110110100111010100001011011100001001011110010100000000011110101010000101010111
142	6	rest	null
148	6	stimulus_random	001000100011111101110010000000110100100011101010010101100111011000110100111101100011110011011100010100001100111011011101110110000011110010100010
154	6	rest	null
160	6	stimulus_random	010111111110101111110111100000000010010010110001001100100001100111011011001110100001110101010100111111101001001000111111110000110011101101011111
166	6	rest	null
172	6	stimulus_random	111010000111010001000000100110011111011100011001010111110101011001100000011110111110111101111011011111000110110101111011000100001010111101001011
178	6	rest	null
184	6	stimulus_random	011111111100110011111111101000010000011110001011000100001010100100010101101110010100100001110100100111001110101100100001000000101100010001011111
190	6	rest	null
196	6	stimulus_random	100001011010001110000000100110101110000111101000010100000111111110001000010001101011101001100100100001111011000111111111101001110001111110111000
202	6	rest	null
208	6	stimulus_random	000111001010111111110100101101011110011011100101100101110000111111100111010111100001001001101001101110000111001110001010010110010110001110000111
214	6	rest	null
220	6	stimulus_random	101100101111101110011010000100011011010001010000000010001001101001001001011010100101101000100110101001001111001100001101001010101110010001001110
226	6	rest	null
232	6	stimulus_random	101011100010011010101001101000010101110011110011100000110100110001011011010011001111111010010001110101010011100001101000100110111101111011100011
238	6	rest	null
244	6	stimulus_random	010011110001000101011011010100110111111110101101011000110000010010010100100001010101111001101110111101101011010100010010111001111111110011110010
250	6	rest	null
256	6	stimulus_random	000110100100100101100100101110100010110001000100001101000101100101111000110101010101100110111010110000101100101010011101110100000011111110111010
262	6	rest	null
268	6	stimulus_random	111001110011101100101001111001000110110111010011110101011110000011010100100110110101001101000001010101111111000010100001011111011011001111001010
274	6	rest	null
280	6	stimulus_random	100111110001111110001010000000000101010100111111101010000110100000011000101001100111111100110101001010001111110011001000110011001110111000011000
286	12	rest	null
