onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	000101110100000001101000111011101110000110100001100110111111100100001100010010010010111101001001001010110011111100001110011001011101101100111111
34	6	rest	null
40	6	stimulus_random	011011101011011110000000001101010001010101111101100000000101111110111010011000000101001001100011000101111100101111111110110100011000100001100001
46	6	rest	null
52	6	stimulus_random	110010101100011000011010111010001100110110001000100001100111110111011110010001111100101111110001011011000110001000111110010110111011101010111011
58	6	rest	null
64	6	stimulus_random	110111101101011001110010011110100100010010100011011101011010001001001011000100100101100001110001000001111010001101101110000101010100010011001101
70	6	rest	null
76	6	stimulus_random	011011101011110111010000110011001100000011000100111111000111100010101100011111101111000000000001110011001011111110110010101010011100011010100001
82	6	rest	null
88	6	stimulus_random	010011010010000000101011000001110001111110100010001001010010000001000111011000001010100100110001001101000010110010010100101010110110001100110001
94	6	rest	null
100	6	stimulus_random	011100000111111111000011010001000110101000010100101101110001101110010001110000100011001011111010001100010110010001101011101011011110111010111110
106	6	rest	null
112	6	stimulus_random	110100110111000011001000111101010011110011100011011011100000011100101111010001110011111111010010100001010100101001111000111101010001001101000111
118	6	rest	null
124	6	stimulus_random	100100100100110101001011011111001100010011001110111101100000110111010101111011110010010111000000110100110100101011111111111000101100000100010101
130	6	rest	null
136	6	stimulus_random	001111010010010000100100000111000000011111101111000010011000100100100101011010100111111101110011011010000100010110100000000100100111110001100011
142	6	rest	null
148	6	stimulus_random	101110111001011110101111111101000111011010111000100110011100010100101100111100010010101100110110000100000100110111110011000110010000100000011010
154	6	rest	null
160	6	stimulus_random	000010110101000101111100001101000100000100000011001011001000000000011001000101001001100100110000010010011011100010101101110001001110100111111101
166	6	rest	null
172	6	stimulus_random	100110001010010011001010011010001010110010001011110110110010101001000000011011100110111000011000010011010100011101110001010100011111011110000011
178	6	rest	null
184	6	stimulus_random	010111100111100110100000010011100101010100001010011110001010010010010010111101100110110001011111110010110010000100101010111101101100100000100000
190	6	rest	null
196	6	stimulus_random	001001010001101100010100101111100010101100111010000001100101000100000000001000001000000010011011011111011111110111000011010010101110010001010001
202	6	rest	null
208	6	stimulus_random	011111000001011101011010001101100000101000011001111001111111001100010110101111011010110100001100000111011000100010110110001011110111101000101011
214	6	rest	null
220	6	stimulus_random	101000111010000111100010011100101001100011000100010001111000011010111001001100110100010111000110001101100001010011011111010011110000010000101101
226	6	rest	null
232	6	stimulus_random	111110101100100000111100110100111100000111110111010001011111111110001000000110101010001010101011111100000011010000010100000011100000110111010110
238	6	rest	null
244	6	stimulus_random	111101000000000010101111111100000000110011100101101101000100010101111000000010100001011100100001010010000011111000000000000001010111011110100000
250	6	rest	null
256	6	stimulus_random	110001001010001100010010100100110110100100001111100111101011111000010111100100000101101110100111001110001011010011110110001010010011100110111001
262	6	rest	null
268	6	stimulus_random	110110010101101011011110101100011001100101111111110010111111010101000000001101001001111011101101111100101111000000000001011001010101010111111110
274	6	rest	null
280	6	stimulus_random	111010011111001111101001101001110010110000111101001000011111101011100110101111001011101010001111101010100010110011110010110010010111100001000111
286	12	rest	null
