onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	101100010101001011101000110111010110100111101110000101101000111100101011101100100111010001110001111111000100011010101100001100000010001101000001
34	6	rest	null
40	6	stimulus_random	100110111110100101011101001000011110110001110101111000111110111001111001011100011111101000110000001010100110011011110111000000010010100010010010
46	6	rest	null
52	6	stimulus_random	010010010110100110100110111111001111000101000111111110010001011001111111111001111010001000010010011010111001101010001011110010000001011010000110
58	6	rest	null
64	6	stimulus_random	100000110110111110000000000111101001011000010101001010110010101010111101010100000111110100110111001011110111101010111110001101111011001100110101
70	6	rest	null
76	6	stimulus_random	000111100001011101001000000001000100001110011001010100111111110101011100001011111011111001100111011110000011000110010000110101010100100011111110
82	6	rest	null
88	6	stimulus_random	100001100101010101011010111000001100101111011001100111010011011010010000011010110100010111111110001101110011000010111101111000100101110101010001
94	6	rest	null
100	6	stimulus_random	001001110000011001111111011101000101100011010111000010111001011011110001110111010011110010000010001100010001111111110001000011001110100001010101
106	6	rest	null
112	6	stimulus_random	000011100000110001110100010011110001111100000010000100110110010010010111110011110011100110111111001110101010100100000001110111011001101011001111
118	6	rest	null
124	6	stimulus_random	110011000011010101100000110010010001101010111010001110010110000100010111100100100001001110101100000100001011010101011111110111000011001010101000
130	6	rest	null
136	6	stimulus_random	001010000000001010010100100000101101101111001010010101010000001111010111110101110010001001110101001111110000001100100111000101001111000111001010
142	6	rest	null
148	6	stimulus_random	101011001111101101000001100011100110011110111101110011000010101111101001111011111000101010011000111011111000010011111100101101010011100011010001
154	6	rest	null
160	6	stimulus_random	110110010001000110000110011101011001000000110010000011111001101111011000111111010000111110011100101101111100111110000111101110000011110111000101
166	6	rest	null
172	6	stimulus_random	110101101000011100010111101110100011111011000101000000001100010100101001001010000111110000100011001111110100001001101100001010011101101101111110
178	6	rest	null
184	6	stimulus_random	100011010011100011011111111000111110100011100111111001101001110001001000100111010001111000111111101100111010011110000101010010011000100100100110
190	6	rest	null
196	6	stimulus_random	111010000100111011011110010111100101110111001100101110000000011101110101001011100100010111111100100110000101100100000000001101101100100100011000
202	6	rest	null
208	6	stimulus_random	100010000011011011001000010111100110000000101101100011001001101101101110111110011001010001000110111110001101100101111111011100011111011011010000
214	6	rest	null
220	6	stimulus_random	011100100001001110000110000001010001110000100111011101110111011011010110100000001000001010000111111010000000011111111011111000001111110110010111
226	6	rest	null
232	6	stimulus_random	010110101000101011101101110001100111010010000001011100010100100011011111011111010101001100001010110110010111000010011000001001110101111000111010
238	6	rest	null
244	6	stimulus_random	000100110011001000011000111100110011001101011111000101001011011111010001100100011000100100100001110011011111111100010101000110000001001000101010
250	6	rest	null
256	6	stimulus_random	011110011001100000010100111001111100100011000100100010111111101010110000100011010100010011001110010100000000110101101001100001000101111111011100
262	6	rest	null
268	6	stimulus_random	011000110101010100101001010001110101001000001001010011011111101111111101101001011010111000100011000011010100100000010001011101000000010111100100
274	6	rest	null
280	6	stimulus_random	001000011111100011011110000000101100011100110001001001100000000111100011010101100111011111001011101001010011111111110111111011100001110111010000
286	12	rest	null
