onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	000001001101001111011111100010100100110100011001111101101100100111101001011101100100110001011010111011101001111101111011000110011100111100001011
34	6	rest	null
40	6	stimulus_random	000000110110001000010011010101000000101000111000011111101000111011001000110100110000000010110001011001000011101000011010011011110110110110000100
46	6	rest	null
52	6	stimulus_random	101101011000000000111010101101011100010001011011100111100011011110111110011101111100100100010101110111110100000101001001011011011110111111100001
58	6	rest	null
64	6	stimulus_random	001101101110100100001010001000111010011111000111111011010111000101100001010101010100101100111101110001111100001101111101001110001000011011111110
70	6	rest	null
76	6	stimulus_random	011010001101001011110000110001011010110001010000011100011001100110110101111010100011000110101111010001000001111110101011011100100101000001011100
82	6	rest	null
88	6	stimulus_random	011000101111011010110001100000001001000100111100010000101010010100000011001101101101110001001000001011010010011110100001111000010001100011001010
94	6	rest	null
100	6	stimulus_random	001010011101010001101000001110110101111001001110100111001110110111000010000100101000101011100011111000000010111001011010011011001011010111000011
106	6	rest	null
112	6	stimulus_random	000100110010000110001111001100101101101101111110110011000011000011000001111010110001110010100010001110011010001011101000111000010011001100100001
118	6	rest	null
124	6	stimulus_random	110110010101100010001111010001101110000010011010000111111010110001010101001011100010110101100110111001111111111101101010011110000101011100000000
130	6	rest	null
136	6	stimulus_random	010001111001000111110111010010110111111100011010011101011010011110101011001011000101010000110011100100101000000011111100000100010100110011001001
142	6	rest	null
148	6	stimulus_random	011100000100000100001011101011001101101010100111001011110001101110001000111010111001111111010000011011001000100001011000110011000011010100010011
154	6	rest	null
160	6	stimulus_random	101010011111110111100101101001000110010111001101011010101100101011001000111001101110001111000111001100011100000110000001100001111011100000110110
166	6	rest	null
172	6	stimulus_random	001111111000101010001111100111101000110011111011011011001010101100110110000010100000011000010001100010001000011111100110000100101110011110100010
178	6	rest	null
184	6	stimulus_random	110100001000001111110001111011011011000001000001010100011100000110001010011110000110000010011100110001100010000010101011111100100011101011011000
190	6	rest	null
196	6	stimulus_random	101111011000011111100011000001100000100110101010100100001001110010000011101111100001001011100110111100011001001101100101001100101111000100110001
202	6	rest	null
208	6	stimulus_random	000000010000101010011111011111111111111001010100101100011100000001001101101000111000110011011111010010001001100010010011001101011110001001001001
214	6	rest	null
220	6	stimulus_random	000100111010110000010011111010101010010000111000000101001111111110001010110001110011100111100000011001110110011000001101011101110010100111011101
226	6	rest	null
232	6	stimulus_random	001001110011000000000000000111101000001111111000011111011110001011000101101010101100000101000010001111010001111101110100110111011011011111001010
238	6	rest	null
244	6	stimulus_random	000101110011101111101101111010100101010100000110011110011010111111011001100101101110101100001110111101110011111100000101111001010011100000111100
250	6	rest	null
256	6	stimulus_random	101101110011101011111110111101000001000111010000010111010001000100000010100001111111011010111001101110000000010011110000100010101001000100111111
262	6	rest	null
268	6	stimulus_random	001000011111101100011111011110110100001011100111111001011101110101010110001001100000011110001110101110000011111111001100010011001110001110010011
274	6	rest	null
280	6	stimulus_random	100011111011011111001110101111000100010110011110100011110010110010110101101011010000110100111111110001011110000001001101110101011001010111010100
286	12	rest	null
