onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	001111110001011000001010011100000010000000000100100101010010001011110111000101110000100110101011101011001001111010001100000100110010101101011010
34	6	rest	null
40	6	stimulus_random	010110101010000011111110010110101110000101110110101010100000101111001100111000110110110001100101001001010010011010101001110110011111110010111110
46	6	rest	null
52	6	stimulus_random	011111010100010001000001001011110110001001111101100111100000010011001011110110000010010111111011000101101101100110111000011011110101110010001100
58	6	rest	null
64	6	stimulus_random	110000001000101000111011001101111110000010110011100100010010101101010011110110100010101111011001000110101001101100001101100000101010110100000111
70	6	rest	null
76	6	stimulus_random	001101111111101101111010110111101101101000001011111011100011111010001110011010000010110001001010001010000010101001110011010110101000110001110000
82	6	rest	null
88	6	stimulus_random	001001011110001010000101110000011111001010100100110011111101001011100010100001011101000011100000111100110111000011100100101100011111000101001011
94	6	rest	null
100	6	stimulus_random	001011010101000100111011001111100100011000111111001110000001100011001011110010001001101001000010110010111011101111111000000100011011101000101001
106	6	rest	null
112	6	stimulus_random	000100001101001110011010010000110111111110010101101010011001000000001000001000101111101010111101011000100101011101100100101111110101011101110001
118	6	rest	null
124	6	stimulus_random	001001101000010000101011000001110111101111110011011001101001100100101011101111000101000000000010001111100000010100110111111000101000000001110011
130	6	rest	null
136	6	stimulus_random	001010010100111101001111110001001110111110100100101000100001101110000000110100110011001111101001000101010000101101111101011000100001011000111101
142	6	rest	null
148	6	stimulus_random	011011011011001011001110100100111100111001111111111110100011101001110010101101000010111010101000000001100110101000011111111000001101001011011001
154	6	rest	null
160	6	stimulus_random	100001011011011010010000110010110110110000000011001111001011110110011010000000000110001001001100101111001011000111111100101101000100000101101101
166	6	rest	null
172	6	stimulus_random	000010111011001100101101110010001011100011101011101100001001000110011111110101000110100010001011100111110011100101000010110000000001100011101001
178	6	rest	null
184	6	stimulus_random	001111001111011011010011000100001000000101101011110111011001111101001000111001100001011110010000100110010101011011010000100110000110001001110001
190	6	rest	null
196	6	stimulus_random	100001000100110101001000011100101100010111000100101100100111111000001100100010100011010011010101011010110011010010001111010101001010110000100111
202	6	rest	null
208	6	stimulus_random	001101001000111101110011000100011100111111010110111100101111101010111101011011111010101110100111010000011101011001110011111000110000001110000010
214	6	rest	null
220	6	stimulus_random	100000101001011111011111110010110001111111010110111100100101110100001101111000011000101010010100011100101011010100110000110101101000110110101101
226	6	rest	null
232	6	stimulus_random	101011000100110110010011001111011110101111110111100001001010011101110111011111101111011011011111011111011001001100000001011000010101010000100011
238	6	rest	null
244	6	stimulus_random	100100111001000101001001100001100111100011101010101001000011010001010001010000010101001010100001010110001011000010000011000101111100101001111001
250	6	rest	null
256	6	stimulus_random	000011111011110000100011110001000000100011111010111010001000111110010110100000011110111111111001001011001011110001011111101001000011100110011001
262	6	rest	null
268	6	stimulus_random	010100011010100101110010100110001111000100110100010111111110111011101001011001101001011100011011000011100010111110010101011011101101100111111110
274	6	rest	null
280	6	stimulus_random	011000010111010011011110011001001011110100110011010111010110011110101001001001011111110110001001010010101100111001011111101101001100001110101011
286	12	rest	null
